,Ticker,Start Price,End Price,Price Change,Price Change %
388,SLNO,0.1606,0.1875,0.026900000000000007,16.749688667496894
389,CORR,2.27,2.65,0.3799999999999999,16.740088105726866
390,ANPC,0.245,0.286,0.04099999999999998,16.734693877551013
391,CODX,3.855,4.5,0.645,16.731517509727627
392,ACHR,3.41,3.98,0.5699999999999998,16.715542521994127
393,YPF,3.8127,4.45,0.6373000000000002,16.715188711411866
394,MCAAW,0.1799,0.2099,0.03,16.67593107281823
395,VINE,3.12,3.64,0.52,16.666666666666664
396,GNLN,0.3309,0.386,0.05509999999999998,16.651556361438494
397,BCACW,0.129,0.1504,0.021400000000000002,16.589147286821706
398,DWACW,12.0,13.99,1.9900000000000002,16.583333333333336
399,BFLY,2.625,3.06,0.43500000000000005,16.571428571428573
400,SWAGW,0.3,0.3497,0.04970000000000002,16.566666666666674
401,VECT,4.87,5.675,0.8049999999999997,16.529774127310056
402,OLPX,12.23,14.25,2.0199999999999996,16.516762060506945
403,KOS,6.12,7.13,1.0099999999999998,16.503267973856207
404,GBR,1.82,2.12,0.30000000000000004,16.483516483516485
405,TMST,17.55,20.44,2.8900000000000006,16.46723646723647
406,AUROW,0.73,0.85,0.12,16.43835616438356
407,DV,17.83,20.75,2.9200000000000017,16.376892877173315
408,MANT,80.99,94.25,13.260000000000005,16.37239165329054
409,BZUN,6.72,7.82,1.1000000000000005,16.369047619047628
410,VSTA,3.8,4.42,0.6200000000000001,16.315789473684212
411,FOUR,38.415,44.68,6.265000000000001,16.30873356761682
412,THACW,0.15,0.1744,0.024400000000000005,16.26666666666667
413,MCG,6.855,7.97,1.1149999999999993,16.26549963530269
414,PRTY,1.23,1.43,0.19999999999999996,16.260162601626014
415,BMA,13.72,15.95,2.2299999999999986,16.253644314868794
416,SAI,4.75,5.52,0.7699999999999996,16.210526315789465
417,UONE,9.52,11.06,1.540000000000001,16.176470588235304
418,DK,24.42,28.37,3.9499999999999993,16.17526617526617
419,TPIC,10.39,12.07,1.6799999999999997,16.169393647738207
420,JILL,15.41,17.9,2.4899999999999984,16.158338741077213
421,ICL,10.24,11.89,1.6500000000000004,16.113281250000004
422,PLMR,50.135,58.21,8.075000000000003,16.10651241647552
423,MLCO,4.505,5.23,0.7250000000000005,16.09322974472809
424,CYTK,37.39,43.4,6.009999999999998,16.073816528483544
425,EXN,0.56,0.65,0.08999999999999997,16.071428571428566
426,AZTA,64.255,74.57,10.314999999999998,16.05322542992763
427,MTA,4.93,5.72,0.79,16.024340770791078
428,R,71.72,83.19,11.469999999999999,15.992749581706637
429,CRESY,5.975,6.93,0.9550000000000001,15.983263598326362
430,PUBM,18.11,21.0,2.8900000000000006,15.95803423522916
431,LEGN,35.04,40.63,5.590000000000003,15.953196347031973
432,BATL,15.068,17.47,2.4019999999999992,15.941067162198031
433,IOT,9.005,10.44,1.4349999999999987,15.935591338145457
434,XENE,25.81,29.92,4.110000000000003,15.924060441689281
435,UGP,2.355,2.73,0.375,15.92356687898089
436,NBTX,4.65,5.39,0.7399999999999993,15.91397849462364
437,RGLS,0.1641,0.1902,0.026100000000000012,15.904936014625237
438,ALTO,4.15,4.81,0.6599999999999993,15.903614457831306
439,ANGI,4.125,4.78,0.6550000000000002,15.878787878787884
440,COOLW,0.121086,0.1403,0.01921400000000001,15.86806071717623
441,LNTH,57.86,67.0,9.14,15.796750777739371
442,HCARW,0.145,0.1679,0.022900000000000004,15.793103448275867
443,KPLT,1.14,1.32,0.18000000000000016,15.789473684210542
444,ARRWW,0.1037,0.12,0.016299999999999995,15.718418514946958
